Name,PosX,PosY,PosZ,RotX,RotY,RotZ,ScaleX,ScaleY,ScaleZ,GroupID
Floor,6,0,-6,0 ,0,0,1,1,1,0
Floor,0,0,-6,0 ,0,0,1,1,1,0
Floor,-6,0,-6,0 ,0,0,1,1,1,0
Floor,6,0,0,0 ,0,0,1,1,1,0
Floor,0,0,0,0 ,0,0,1,1,1,0
Floor,-6,0,0,0 ,0,0,1,1,1,0
Floor,6,0,6,0 ,0,0,1,1,1,0
Floor,0,0,6,0 ,0,0,1,1,1,0
Floor,-6,0,6,0 ,0,0,1,1,1,0
Floor,0,0,12,0 ,0,0,1,1,1,0
Floor,0,0,18,0 ,0,0,1,1,1,0
Floor,0,0,24,0 ,0,0,1,1,1,0
Floor,0,0,30,0 ,0,0,1,1,1,0
Floor,0,0,36,0 ,0,0,1,1,1,0
Floor,6,0,42,0 ,0,0,1,1,1,0
Floor,0,0,42,0 ,0,0,1,1,1,0
Floor,-6,0,42,0 ,0,0,1,1,1,0
Floor,6,0,48,0 ,0,0,1,1,1,0
Floor,0,0,48,0 ,0,0,1,1,1,0
Floor,-6,0,48,0 ,0,0,1,1,1,0
Floor,6,0,54,0 ,0,0,1,1,1,0
Floor,0,0,54,0 ,0,0,1,1,1,0
Floor,-6,0,54,0 ,0,0,1,1,1,0
Floor,6,0,60,0 ,0,0,1,1,1,0
Floor,0,0,60,0 ,0,0,1,1,1,0
Floor,-6,0,60,0 ,0,0,1,1,1,0
Floor,0,0,66,0 ,0,0,1,1,1,0
Floor,0,0,72,0 ,0,0,1,1,1,0
Floor,0,0,78,0 ,0,0,1,1,1,0
Floor,-6,0,78,0 ,0,0,1,1,1,0
Floor,-12,0,78,0 ,0,0,1,1,1,0
Floor,-18,0,78,0 ,0,0,1,1,1,0
Floor,-24,0,78,0 ,0,0,1,1,1,0
Floor,-30,0,90,0 ,0,0,1,1,1,0
Floor,-30,0,84,0 ,0,0,1,1,1,0
Floor,-30,0,78,0 ,0,0,1,1,1,0
Floor,-30,0,72,0 ,0,0,1,1,1,0
Floor,-30,0,66,0 ,0,0,1,1,1,0
Floor,-36,0,90,0 ,0,0,1,1,1,0
Floor,-36,0,84,0 ,0,0,1,1,1,0
