Name,PosX,PosY,PosZ,RotX,RotY,RotZ,ScaleX,ScaleY,ScaleZ,GroupID
Floor,6,0,-6,2.50E-06,0,0,1,1,1,0
Floor,0,0,-6,2.50E-06,0,0,1,1,1,0
Floor,-6,0,-6,2.50E-06,0,0,1,1,1,0
Floor,6,0,0,2.50E-06,0,0,1,1,1,0
Floor,0,0,0,2.50E-06,0,0,1,1,1,0
Floor,-6,0,0,2.50E-06,0,0,1,1,1,0
Floor,6,0,6,2.50E-06,0,0,1,1,1,0
Floor,0,0,6,2.50E-06,0,0,1,1,1,0
Floor,-6,0,6,2.50E-06,0,0,1,1,1,0
Floor,0,0,12,2.50E-06,0,0,1,1,1,0
Floor,0,0,18,2.50E-06,0,0,1,1,1,0
Floor,0,0,24,2.50E-06,0,0,1,1,1,0
Floor,0,0,30,2.50E-06,0,0,1,1,1,0
Floor,0,0,36,2.50E-06,0,0,1,1,1,0
Floor,6,0,42,2.50E-06,0,0,1,1,1,0
Floor,0,0,42,2.50E-06,0,0,1,1,1,0
Floor,-6,0,42,2.50E-06,0,0,1,1,1,0
Floor,6,0,48,2.50E-06,0,0,1,1,1,0
Floor,0,0,48,2.50E-06,0,0,1,1,1,0
Floor,-6,0,48,2.50E-06,0,0,1,1,1,0
Floor,6,0,54,2.50E-06,0,0,1,1,1,0
Floor,0,0,54,2.50E-06,0,0,1,1,1,0
Floor,-6,0,54,2.50E-06,0,0,1,1,1,0
Floor,6,0,60,2.50E-06,0,0,1,1,1,0
Floor,0,0,60,2.50E-06,0,0,1,1,1,0
Floor,-6,0,60,2.50E-06,0,0,1,1,1,0
Floor,0,0,66,2.50E-06,0,0,1,1,1,0
Floor,0,0,72,2.50E-06,0,0,1,1,1,0
Floor,0,0,78,2.50E-06,0,0,1,1,1,0
Floor,-6,0,78,2.50E-06,0,0,1,1,1,0
Floor,-12,0,78,2.50E-06,0,0,1,1,1,0
Floor,-18,0,78,2.50E-06,0,0,1,1,1,0
Floor,-24,0,78,2.50E-06,0,0,1,1,1,0
Floor,-30,0,90,2.50E-06,0,0,1,1,1,0
Floor,-30,0,84,2.50E-06,0,0,1,1,1,0
Floor,-30,0,78,2.50E-06,0,0,1,1,1,0
Floor,-30,0,72,2.50E-06,0,0,1,1,1,0
Floor,-30,0,66,2.50E-06,0,0,1,1,1,0
Floor,-36,0,90,2.50E-06,0,0,1,1,1,0
Floor,-36,0,84,2.50E-06,0,0,1,1,1,0
Floor,-36,0,78,2.50E-06,0,0,1,1,1,0
Floor,-36,0,72,2.50E-06,0,0,1,1,1,0
Floor,-36,0,66,2.50E-06,0,0,1,1,1,0
Floor,-42,0,90,2.50E-06,0,0,1,1,1,0
Floor,-42,0,84,2.50E-06,0,0,1,1,1,0
Floor,-42,0,78,2.50E-06,0,0,1,1,1,0
Floor,-42,0,72,2.50E-06,0,0,1,1,1,0
Floor,-42,0,66,2.50E-06,0,0,1,1,1,0
Floor,-48,0,90,2.50E-06,0,0,1,1,1,0
Floor,-48,0,84,2.50E-06,0,0,1,1,1,0
Floor,-48,0,78,2.50E-06,0,0,1,1,1,0
Floor,-48,0,72,2.50E-06,0,0,1,1,1,0
Floor,-48,0,66,2.50E-06,0,0,1,1,1,0
Floor,-54,0,90,2.50E-06,0,0,1,1,1,0
Floor,-54,0,84,2.50E-06,0,0,1,1,1,0
Floor,-54,0,78,2.50E-06,0,0,1,1,1,0
Floor,-54,0,72,2.50E-06,0,0,1,1,1,0
Floor,-54,0,66,2.50E-06,0,0,1,1,1,0
Floor,-60,0,84,2.50E-06,0,0,1,1,1,0
Floor,-60,0,78,2.50E-06,0,0,1,1,1,0
Floor,-60,0,72,2.50E-06,0,0,1,1,1,0
Floor,-66,0,78,2.50E-06,0,0,1,1,1,0
Floor,-72,0,78,2.50E-06,0,0,1,1,1,0
Floor,-78,0,78,2.50E-06,0,0,1,1,1,0
Floor,-84,0,78,2.50E-06,0,0,1,1,1,0
Floor,-84,0,84,2.50E-06,0,0,1,1,1,0
Floor,-84,0,90,2.50E-06,0,0,1,1,1,0
Floor,-84,0,96,2.50E-06,0,0,1,1,1,0
Floor,-84,0,102,2.50E-06,0,0,1,1,1,0
Floor,-96,0,108,2.50E-06,0,0,1,1,1,0
Floor,-90,0,108,2.50E-06,0,0,1,1,1,0
Floor,-84,0,108,2.50E-06,0,0,1,1,1,0
Floor,-78,0,108,2.50E-06,0,0,1,1,1,0
Floor,-72,0,108,2.50E-06,0,0,1,1,1,0
Floor,-96,0,114,2.50E-06,0,0,1,1,1,0
Floor,-90,0,114,2.50E-06,0,0,1,1,1,0
Floor,-84,0,114,2.50E-06,0,0,1,1,1,0
Floor,-78,0,114,2.50E-06,0,0,1,1,1,0
Floor,-72,0,114,2.50E-06,0,0,1,1,1,0
Floor,-96,0,120,2.50E-06,0,0,1,1,1,0
Floor,-90,0,120,2.50E-06,0,0,1,1,1,0
Floor,-84,0,120,2.50E-06,0,0,1,1,1,0
Floor,-78,0,120,2.50E-06,0,0,1,1,1,0
Floor,-72,0,120,2.50E-06,0,0,1,1,1,0
Floor,-96,0,126,2.50E-06,0,0,1,1,1,0
Floor,-90,0,126,2.50E-06,0,0,1,1,1,0
Floor,-84,0,126,2.50E-06,0,0,1,1,1,0
Floor,-78,0,126,2.50E-06,0,0,1,1,1,0
Floor,-72,0,126,2.50E-06,0,0,1,1,1,0
Floor,-96,0,132,2.50E-06,0,0,1,1,1,0
Floor,-90,0,132,2.50E-06,0,0,1,1,1,0
Floor,-84,0,132,2.50E-06,0,0,1,1,1,0
Floor,-78,0,132,2.50E-06,0,0,1,1,1,0
Floor,-72,0,132,2.50E-06,0,0,1,1,1,0
Floor,-90,0,138,2.50E-06,0,0,1,1,1,0
Floor,-84,0,138,2.50E-06,0,0,1,1,1,0
Floor,-78,0,138,2.50E-06,0,0,1,1,1,0
Floor,-84,0,144,2.50E-06,0,0,1,1,1,0
Floor,-84,0,150,2.50E-06,0,0,1,1,1,0
Floor,-84,0,156,2.50E-06,0,0,1,1,1,0
Floor,-84,0,162,2.50E-06,0,0,1,1,1,0
Floor,-84,0,168,2.50E-06,0,0,1,1,1,0
Floor,-102,0,174,2.50E-06,0,0,1,1,1,0
Floor,-96,0,174,2.50E-06,0,0,1,1,1,0
Floor,-90,0,174,2.50E-06,0,0,1,1,1,0
Floor,-84,0,174,2.50E-06,0,0,1,1,1,0
Floor,-78,0,174,2.50E-06,0,0,1,1,1,0
Floor,-72,0,174,2.50E-06,0,0,1,1,1,0
Floor,-66,0,174,2.50E-06,0,0,1,1,1,0
Floor,-102,0,180,2.50E-06,0,0,1,1,1,0
Floor,-96,0,180,2.50E-06,0,0,1,1,1,0
Floor,-90,0,180,2.50E-06,0,0,1,1,1,0
Floor,-84,0,180,2.50E-06,0,0,1,1,1,0
Floor,-78,0,180,2.50E-06,0,0,1,1,1,0
Floor,-72,0,180,2.50E-06,0,0,1,1,1,0
Floor,-66,0,180,2.50E-06,0,0,1,1,1,0
Floor,-102,0,186,2.50E-06,0,0,1,1,1,0
Floor,-96,0,186,2.50E-06,0,0,1,1,1,0
Floor,-90,0,186,2.50E-06,0,0,1,1,1,0
Floor,-84,0,186,2.50E-06,0,0,1,1,1,0
Floor,-78,0,186,2.50E-06,0,0,1,1,1,0
Floor,-72,0,186,2.50E-06,0,0,1,1,1,0
Floor,-66,0,186,2.50E-06,0,0,1,1,1,0
